
Table 1: N
Dep. Variable:,Valor Desembolsado em Reais,  R-squared (uncentered):,   0.998
Model:,OLS,  Adj. R-squared (uncentered):,   0.997
Method:,Least Squares,  F-statistic:       ,   1912.
Date:,"Wed, 29 May 2024",  Prob (F-statistic):,  0.00
Time:,08:37:56,  Log-Likelihood:    , -7770.1
No. Observations:,  7079,  AIC:               ,1.829e+04
Df Residuals:,  5702,  BIC:               ,2.775e+04
Df Model:,  1377,                     , 
Covariance Type:,nonrobust,                     , 


Table 2: o
,coef,std err,t,P>|t|,[0.025,0.975]
"Cliente_JUMIL-JUSTINO DE MORAIS, IRMAOS S/A",    4.1093,    0.712,    5.774, 0.000,    2.714,    5.505
"Cliente_K, R, A, C, CALCADOS LTDA",    3.3342,    1.085,    3.073, 0.002,    1.207,    5.462
"Cliente_KANNENBERG, BARKER, HAIL & COTTON - TABACOS LTDA",    5.7909,    1.056,    5.484, 0.000,    3.721,    7.861
Cliente_KARCHER INDUSTRIA E COMERCIO LIMITADA,    4.2601,    0.883,    4.825, 0.000,    2.529,    5.991
Cliente_KARINA INDUSTRIA E COMERCIO DE PLASTICOS LTDA,    5.5533,    1.052,    5.279, 0.000,    3.491,    7.615
Cliente_KARSTEN S/A,    3.9069,    0.714,    5.471, 0.000,    2.507,    5.307
Cliente_KAVO DO BRASIL INDUSTRIA E COMERCIO LTDA,    2.3447,    0.889,    2.639, 0.008,    0.603,    4.087
Cliente_KEIPER DO BRASIL LTDA,    4.6370,    1.052,    4.408, 0.000,    2.575,    6.699
Cliente_KEIPER TECNOLOGIA DE ASSENTOS AUTOMOTIVOS LTDA,    5.0203,    0.785,    6.396, 0.000,    3.482,    6.559
"Cliente_KEKO ACESSORIOS S,A",    3.7876,    0.753,    5.031, 0.000,    2.312,    5.263
Cliente_KEPLER WEBER INDUSTRIAL S/A,    5.2385,    0.705,    7.426, 0.000,    3.856,    6.622
Cliente_KEPLER WEBER SA,    4.3853,    0.709,    6.181, 0.000,    2.994,    5.776
Cliente_KHS INDUSTRIA DE MAQUINAS LTDA,    4.2962,    0.883,    4.863, 0.000,    2.564,    6.028
Cliente_KILBRA TRADING EQUIPAMENTOS PARA AVICULTURA LTDA,    3.4747,    1.050,    3.309, 0.001,    1.416,    5.533
"Cliente_KILLING S,A, TINTAS E ADESIVOS",    3.6306,    0.788,    4.607, 0.000,    2.086,    5.175
Cliente_KIMBERLY-CLARK BRASIL INDUSTRIA E COMERCIO DE PRODUTOS,    4.7689,    0.731,    6.520, 0.000,    3.335,    6.203
Cliente_KING MEAT ALIMENTOS DO BRASIL S/A,    0.1918,    0.922,    0.208, 0.835,   -1.615,    1.998
Cliente_KIT S PARANA-INDUSTRIAL E COMERCIO DE MOVEIS LTDA,    2.6837,    0.809,    3.315, 0.001,    1.097,    4.271
"Cliente_KLABIN S,A,",    6.5642,    0.819,    8.017, 0.000,    4.959,    8.169
Cliente_KLIN PRODUTOS INFANTIS LTDA,    4.0941,    1.052,    3.893, 0.000,    2.033,    6.156
Cliente_KLL EQUIPAMENTOS PARA TRANSPORTE S/A,    4.0577,    1.054,    3.851, 0.000,    1.992,    6.123
Cliente_KLOCKNER TEXTIL LTDA,    3.0280,    1.060,    2.856, 0.004,    0.949,    5.106
