
Table 1: N
Dep. Variable:,Valor Desembolsado em Reais,  R-squared (uncentered):,   0.998
Model:,OLS,  Adj. R-squared (uncentered):,   0.997
Method:,Least Squares,  F-statistic:       ,   1875.
Date:,"Tue, 28 May 2024",  Prob (F-statistic):,  0.00
Time:,08:18:50,  Log-Likelihood:    , -7845.0
No. Observations:,  7080,  AIC:               ,1.844e+04
Df Residuals:,  5704,  BIC:               ,2.789e+04
Df Model:,  1376,                     , 
Covariance Type:,nonrobust,                     , 


Table 2: o
,coef,std err,t,P>|t|,[0.025,0.975]
Cliente_PAMESA DO BRASIL S/A,    5.9568,    0.933,    6.387, 0.000,    4.128,    7.785
Cliente_PAMPLONA ALIMENTOS S/A,    7.3659,    0.773,    9.534, 0.000,    5.851,    8.881
Cliente_PANDURATA ALIMENTOS LTDA,    6.0736,    0.679,    8.951, 0.000,    4.743,    7.404
Cliente_PAQUETA BAHIA LTDA,    6.1545,    0.793,    7.757, 0.000,    4.599,    7.710
Cliente_PAQUETA CALCADOS LTDA,    7.3985,    0.617,   12.000, 0.000,    6.190,    8.607
"Cliente_PAQUETA CALCADOS LTDA,",    8.1521,    0.817,    9.975, 0.000,    6.550,    9.754
Cliente_PARAMOUNT TEXTEIS INDUSTRIA E COMERCIO SA,    7.1698,    0.640,   11.205, 0.000,    5.915,    8.424
Cliente_PARANATEX INDUSTRIA TEXTIL LTDA,    5.3683,    1.070,    5.018, 0.000,    3.271,    7.466
Cliente_PARNAPLAST INDUSTRIA DE PLASTICOS LTDA,    4.3379,    1.050,    4.132, 0.000,    2.280,    6.396
Cliente_PASTIFICIO SELMI SA,    6.9442,    1.012,    6.860, 0.000,    4.960,    8.929
"Cliente_PATI NICKI CONFECCOES LTDA,",    5.3775,    0.713,    7.545, 0.000,    3.980,    6.775
Cliente_PBG S/A,    7.2940,    0.672,   10.850, 0.000,    5.976,    8.612
Cliente_PE DE FERRO CALCADOS E ARTEFATOS DE COURO LTDA - ME,    6.5211,    0.762,    8.562, 0.000,    5.028,    8.014
Cliente_PE DE FERRO NORDESTE LTDA,    6.2937,    0.951,    6.615, 0.000,    4.428,    8.159
Cliente_PECCIN SA,    5.8483,    0.702,    8.330, 0.000,    4.472,    7.225
Cliente_PEMAGRAN PEDRAS MARMORES E GRANITOS LTDA,    6.6887,    1.178,    5.677, 0.000,    4.379,    8.998
Cliente_PENASUL ALIMENTOS LTDA,    8.2941,    0.722,   11.493, 0.000,    6.879,    9.709
Cliente_PEPSICO AMACOCO BEBIDAS DO BRASIL LTDA,    6.2715,    1.146,    5.471, 0.000,    4.024,    8.519
Cliente_PERDIGAO AGROINDUSTRIAL S/A,    7.9066,    0.636,   12.433, 0.000,    6.660,    9.153
"Cliente_PERTECH DO BRASIL LTDA,",    7.0129,    0.832,    8.434, 0.000,    5.383,    8.643
Cliente_PERTO S A PERIFERICOS PARA AUTOMACAO,    8.5346,    0.832,   10.253, 0.000,    6.903,   10.166
Cliente_PETTENATI SA INDUSTRIA TEXTIL,    7.3451,    0.832,    8.824, 0.000,    5.713,    8.977
Cliente_PEUGEOT-CITROEN DO BRASIL AUTOMOVEIS LTDA,    9.8760,    0.709,   13.925, 0.000,    8.486,   11.266
Cliente_PEVAL S A,    6.4599,    0.818,    7.899, 0.000,    4.857,    8.063
"Cliente_PIACENTINI & CIA, LTDA,",    5.5601,    0.831,    6.688, 0.000,    3.930,    7.190
"Cliente_PICCIN MAQUINAS AGRICOLAS LTDA,",    5.9802,    0.762,    7.852, 0.000,    4.487,    7.473
Cliente_PILKINGTON BRASIL LTDA,    8.4096,    0.652,   12.902, 0.000,    7.132,    9.687
Cliente_PINC IS TIGRE LTDA,    7.4639,    1.012,    7.373, 0.000,    5.479,    9.448
Cliente_PINCEIS ATLAS S/A,    7.2405,    0.725,    9.981, 0.000,    5.818,    8.663
Cliente_PINEPLY COMPENSADOS LTDA,    4.4252,    0.754,    5.868, 0.000,    2.947,    5.904
"Cliente_PINHALENSE S/A,-MAQUINAS AGRICOLAS",    6.5544,    0.639,   10.261, 0.000,    5.302,    7.807
"Cliente_PIRELLI PNEUS LTDA,",    8.5551,    0.618,   13.841, 0.000,    7.343,    9.767
